order_id,customer_id,order_date,promised_delivery_date,priority,origin_warehouse,destination_city,carrier
ORD001,CUST001,2023-01-15,2023-01-17,Standard,WH001,New York,CarrierA
ORD002,CUST002,2023-01-16,2023-01-18,Express,WH002,Los Angeles,CarrierB
ORD003,CUST003,2023-01-17,2023-01-19,Standard,WH003,Chicago,CarrierC
ORD004,CUST004,2023-01-18,2023-01-20,Overnight,WH001,Miami,CarrierA
ORD005,CUST005,2023-01-19,2023-01-21,Standard,WH002,Seattle,CarrierB
ORD006,CUST006,2023-01-20,2023-01-22,Express,WH003,Boston,CarrierC
ORD007,CUST007,2023-01-21,2023-01-23,Standard,WH001,Atlanta,CarrierA
ORD008,CUST008,2023-01-22,2023-01-24,Overnight,WH002,Dallas,CarrierB
ORD009,CUST009,2023-01-23,2023-01-25,Standard,WH003,Denver,CarrierC
ORD010,CUST010,2023-01-24,2023-01-26,Express,WH001,Phoenix,CarrierA
ORD011,CUST011,2023-01-25,2023-01-27,Standard,WH002,Detroit,CarrierB
ORD012,CUST012,2023-01-26,2023-01-28,Overnight,WH003,Minneapolis,CarrierC
ORD013,CUST013,2023-01-27,2023-01-29,Standard,WH001,Tampa,CarrierA
ORD014,CUST014,2023-01-28,2023-01-30,Express,WH002,Houston,CarrierB
ORD015,CUST015,2023-01-29,2023-01-31,Standard,WH003,Portland,CarrierC
ORD016,CUST016,2023-01-30,2023-02-01,Overnight,WH001,San Diego,CarrierA
ORD017,CUST017,2023-01-31,2023-02-02,Standard,WH002,Orlando,CarrierB
ORD018,CUST018,2023-02-01,2023-02-03,Express,WH003,Charlotte,CarrierC
ORD019,CUST019,2023-02-02,2023-02-04,Standard,WH001,Jacksonville,CarrierA
ORD020,CUST020,2023-02-03,2023-02-05,Overnight,WH002,Las Vegas,CarrierB